Site,Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
MAUn,6,DACT,91,0.072741807,20.5114,44,8.7997,2,8.8725,22
MAUn,6,DESMA,3,0.002398082,0.6762,0,0.2901,0,0.2925,0
MAUn,6,DIPLO,1,0.000799361,0.2254,1,0.0967,1,0.0975,0
MAUn,6,erodiun,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,FILAGO,10,0.007993605,2.254,4,0.967,3,0.975,3
MAUn,6,GALIVE,9,0.007194245,2.0286,2,0.8703,2,0.8775,1
MAUn,6,HORDEUM,15,0.011990408,3.381,6,1.4505,0,1.4625,3
MAUn,6,HYP,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,LINU,2,0.001598721,0.4508,1,0.1934,1,0.195,0
MAUn,6,lygi,121,0.096722622,27.2734,9,NA,NA,11.7975,0
MAUn,6,MEDILIT,2,0.001598721,0.4508,1,0.1934,0,0.195,0
MAUn,6,NEATOS,3,0.002398082,0.6762,2,0.2901,1,0.2925,1
MAUn,6,phalaris,3,0.002398082,0.6762,1,0.2901,0,0.2925,0
MAUn,6,PLAFRA,31,0.024780176,6.9874,6,2.9977,12,3.0225,1
MAUn,6,PLAL,58,0.04636291,13.0732,8,5.6086,3,5.655,6
MAUn,6,save,122,0.097521982,27.4988,16,11.7974,0,NA,NA
MAUn,6,SEDU,6,0.004796163,1.3524,4,0.5802,0,0.585,0
MAUn,6,SENECIO,8,0.006394884,1.8032,2,0.7736,3,0.78,1
MAUn,6,STIPAR,95,0.075939249,21.413,14,9.1865,3,9.2625,27
MAUn,6,SUAEDA,29,0.023181455,6.5366,4,2.8043,4,2.8275,1
MAUn,6,trigomon,10,0.007993605,2.254,4,0.967,1,0.975,0
MAG,1,aegg,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,aizoon,3,0.0024,0.7728,0,0.012,0,0.1344,0
MAG,1,anacyclu,30,0.024,7.728,6,0.12,0,1.344,2
MAG,1,ANAGA,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,ARTIBA,322,0.2576,NA,NA,1.288,0,14.4256,4
MAG,1,ASPH,7,0.0056,1.8032,1,0.028,0,0.3136,0
MAG,1,ASTRAG,69,0.0552,17.7744,10,0.276,0,3.0912,1
